GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SLF4J Test,com.github.valfirst.slf4jtest,LevelAssert,64,158,10,6,6,27,9,15,4,12
SLF4J Test,com.github.valfirst.slf4jtest,TestMDCAdapter,0,56,0,0,0,13,0,7,0,7
SLF4J Test,com.github.valfirst.slf4jtest,TestSLF4JServiceProvider,0,28,0,0,0,9,0,6,0,6
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerFactory,10,232,0,4,4,61,2,28,2,26
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerFactoryResetRule.TestLoggerFactoryResettingStatement,0,12,0,0,0,7,0,2,0,2
SLF4J Test,com.github.valfirst.slf4jtest,OverridableProperties,0,68,0,2,0,17,0,6,0,5
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerAssert,21,189,0,2,2,38,1,18,1,17
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerAssert.MdcComparator,0,56,1,3,0,9,1,7,0,6
SLF4J Test,com.github.valfirst.slf4jtest,TestLogger,0,752,0,8,0,163,0,84,0,80
SLF4J Test,com.github.valfirst.slf4jtest,LoggingEvent,39,702,9,13,3,114,10,73,1,71
SLF4J Test,com.github.valfirst.slf4jtest,Assertions,3,5,0,0,1,1,1,1,1,1
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerFactoryResetRule,0,8,0,0,0,2,0,2,0,2
SLF4J Test,com.github.valfirst.slf4jtest,AbstractTestLoggerAssert,94,55,16,6,15,10,16,7,3,5
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerAssert.PredicateBuilder,2,139,0,0,0,29,1,20,1,20
SLF4J Test,com.github.valfirst.slf4jtest,TestLoggerFactoryExtension,0,5,0,0,0,3,0,2,0,2
SLF4J Test,uk.org.lidalia.lang,ThreadLocal,4,54,0,0,1,14,1,7,1,7
SLF4J Test,uk.org.lidalia.lang,ThreadLocal.new Supplier() {...},0,17,0,0,0,4,0,2,0,2
SLF4J Test,org.slf4j.impl,StaticMarkerBinder,0,19,0,0,0,5,0,4,0,4
SLF4J Test,org.slf4j.impl,StaticMDCBinder,0,19,0,0,0,5,0,4,0,4
SLF4J Test,org.slf4j.impl,StaticLoggerBinder,0,12,0,0,0,4,0,4,0,4
